@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
122,N,C7H-,HC7N,E,,,1.00e+01,3.00e+02,5.00e-12
123,N,C9-,C9N,E,,,1.00e+01,3.00e+02,1.00e-10
124,N,C9H-,HC9N,E,,,1.00e+01,3.00e+02,5.00e-12
125,N,C11-,C11N,E,,,1.00e+01,3.00e+02,1.00e-10
126,N,C11H-,HC11N,E,,,1.00e+01,3.00e+02,5.00e-12
127,N,O-,NO,E,,,1.00e+01,4.10e+04,2.20e-10
128,N,S-,NS,E,,,1.00e+01,4.10e+04,1.00e-10
129,O-,CO,CO2,E,,,1.00e+01,4.10e+04,6.50e-10
130,O-,NO,NO2,E,,,8.80e+01,4.94e+02,3.10e-10 * (Tgas / 3.0e2)**(-0.83)
131,O-,O,O2,E,,,1.00e+01,4.10e+04,1.90e-10
132,O2,S-,SO2,E,,,1.00e+01,4.10e+04,3.00e-11
133,O,C2-,C2O,E,,,1.00e+01,3.00e+02,2.90e-10
134,O,C2H-,C2O,H,E,,1.00e+01,3.00e+02,3.10e-10
135,O,C3N-,CO,C2N,E,,1.00e+01,3.00e+02,5.00e-10
136,O,C5N-,CO,C4N,E,,1.00e+01,3.00e+02,5.00e-10
137,O,C7N-,C2O,C5N,E,,1.00e+01,3.00e+02,5.00e-10
138,O,C9N-,C2O,C7N,E,,1.00e+01,3.00e+02,5.00e-10
139,O,C11N-,C2O,C9N,E,,1.00e+01,3.00e+02,5.00e-10
140,O,S-,SO,E,,,1.00e+01,4.10e+04,1.00e-10
141,C,C10H-,C11H,E,,,1.00e+01,3.00e+02,1.00e-09
142,H+,HNC,HCN,H+,,,1.00e+01,4.10e+04,1.00e-09
143,H2,CH,C,H2,H,,1.34e+03,4.10e+04,6.00e-09 * exp(-40200.00 / Tgas)
144,H2,H2,H2,H,H,,2.80e+03,4.10e+04,1.00e-08 * exp(-84100.00 / Tgas)
145,H2,H2O,OH,H2,H,,1.76e+03,4.10e+04,5.80e-09 * exp(-52900.00 / Tgas)
146,H2,HOC+,HCO+,H2,,,2.00e+01,4.10e+04,3.80e-10
147,H2,O2,O,O,H2,,1.74e+03,4.10e+04,6.00e-09 * exp(-52300.00 / Tgas)
148,H2,OH,O,H2,H,,1.70e+03,4.10e+04,6.00e-09 * exp(-50900.00 / Tgas)
149,H2,E,H,H,E,,3.40e+03,4.10e+04,3.22e-09 * (Tgas / 3.0e2)**(0.35) * exp(-102000.00 / Tgas)
150,H,CH,C,H,H,,1.34e+03,4.10e+04,6.00e-09 * exp(-40200.00 / Tgas)
151,H,H2,H,H,H,,1.83e+03,4.10e+04,4.67e-07 * (Tgas / 3.0e2)**(-1.00) * exp(-55000.00 / Tgas)
152,H,H2O,OH,H,H,,1.76e+03,4.10e+04,5.80e-09 * exp(-52900.00 / Tgas)
153,H,O2,O,O,H,,1.74e+03,4.10e+04,6.00e-09 * exp(-52300.00 / Tgas)
154,H,OH,O,H,H,,1.70e+03,4.10e+04,6.00e-09 * exp(-50900.00 / Tgas)
155,O2-,O2,O2,O2,E,,2.00e+02,7.00e+02,7.00e-10
156,C+,C10H,C10H+,C,,,1.00e+01,4.10e+04,5.00e-09 * (Tgas / 3.0e2)**(-0.50)
157,C+,C2H4,C2H4+,C,,,1.00e+01,4.10e+04,1.70e-11
158,C+,C2H5,C2H5+,C,,,1.00e+01,4.10e+04,5.00e-10
159,C+,C2H5OH,C2H5OH+,C,,,1.00e+01,3.00e+02,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
160,C+,C2O,C2O+,C,,,1.00e+01,4.10e+04,5.57e-10 * (Tgas / 3.0e2)**(-0.50)
161,C+,C2S,C2S+,C,,,1.00e+01,3.00e+02,5.00e-10 * (Tgas / 3.0e2)**(-0.50)
162,C+,C3O,C3O+,C,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
163,C+,C3S,C3S+,C,,,1.00e+01,3.00e+02,2.24e-09 * (Tgas / 3.0e2)**(-0.50)
164,C+,C4H3,C4H3+,C,,,1.00e+01,3.00e+02,3.10e-10
165,C+,C4S,C4S+,C,,,1.00e+01,3.00e+02,5.00e-10 * (Tgas / 3.0e2)**(-0.50)
166,C+,HC4NC,HC4NC+,C,,,1.00e+01,4.10e+04,2.15e-09 * (Tgas / 3.0e2)**(-0.50)
167,C+,C6H6,C6H6+,C,,,1.00e+01,4.10e+04,1.61e-09
168,C+,CCP,CCP+,C,,,1.00e+01,4.10e+04,5.00e-10 * (Tgas / 3.0e2)**(-0.50)
169,C+,CCl,CCl+,C,,,1.00e+01,4.10e+04,1.00e-09
170,C+,CH2,CH2+,C,,,1.00e+01,4.10e+04,5.20e-10
171,C+,CH2CCH2,C3H4+,C,,,1.00e+01,4.10e+04,2.10e-10
172,C+,CH2CCH,H2CCCH+,C,,,1.00e+01,3.00e+02,1.00e-09
173,C+,CH2CN,CH2CN+,C,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
174,C+,CH2CO,H2CCO+,C,,,1.00e+01,4.10e+04,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
175,C+,CH3CCH,C3H4+,C,,,1.00e+01,4.10e+04,5.70e-10 * (Tgas / 3.0e2)**(-0.50)
176,C+,CH3CHCH2,C3H6+,C,,,1.00e+01,4.10e+04,2.00e-10
177,C+,CH3CHO,CH3CHO+,C,,,1.00e+01,3.00e+02,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
178,C+,CH3COCH3,CH3COCH3+,C,,,1.00e+01,4.10e+04,4.15e-09 * (Tgas / 3.0e2)**(-0.50)
179,C+,CH3OCH3,CH3OCH3+,C,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
180,C+,CH,CH+,C,,,1.00e+01,4.10e+04,3.80e-10 * (Tgas / 3.0e2)**(-0.50)
181,C+,CP,CP+,C,,,1.00e+01,4.10e+04,1.00e-09
182,C+,ClO,ClO+,C,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
183,C+,Fe,Fe+,C,,,1.00e+01,4.10e+04,2.60e-09
184,C+,H2CO,H2CO+,C,,,1.00e+01,4.10e+04,7.80e-10 * (Tgas / 3.0e2)**(-0.50)
185,C+,H2S,H2S+,C,,,1.00e+01,4.10e+04,6.00e-10 * (Tgas / 3.0e2)**(-0.50)
186,C+,H2SiO,H2SiO+,C,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
187,C+,C4H2,C4H2+,C,,,1.00e+01,3.00e+02,1.31e-09
188,C+,HCO,HCO+,C,,,1.00e+01,4.10e+04,4.80e-10 * (Tgas / 3.0e2)**(-0.50)
189,C+,HCOOCH3,HCOOCH3+,C,,,1.00e+01,3.00e+02,2.22e-09 * (Tgas / 3.0e2)**(-0.50)
190,C+,HCP,HCP+,C,,,1.00e+01,4.10e+04,5.00e-10
191,C+,HPO,HPO+,C,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
192,C+,Mg,Mg+,C,,,1.00e+01,4.10e+04,1.10e-09
193,C+,NH3,NH3+,C,,,1.00e+01,4.10e+04,6.72e-10 * (Tgas / 3.0e2)**(-0.50)
194,C+,NO,NO+,C,,,1.00e+01,4.10e+04,7.05e-10 * (Tgas / 3.0e2)**(-0.03) * exp(--16.70 / Tgas)
195,C+,NS,NS+,C,,,1.00e+01,4.10e+04,7.60e-10 * (Tgas / 3.0e2)**(-0.50)
196,C+,Na,Na+,C,,,1.00e+01,4.10e+04,1.10e-09
197,C+,OCS,OCS+,C,,,1.00e+01,4.10e+04,4.00e-10
198,C+,P,P+,C,,,1.00e+01,3.00e+02,1.00e-09
199,C+,PH,PH+,C,,,1.00e+01,4.10e+04,1.00e-09
200,C+,PO,PO+,C,,,1.00e+01,3.00e+02,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
201,C+,SO,SO+,C,,,1.00e+01,4.10e+04,2.60e-10 * (Tgas / 3.0e2)**(-0.50)
202,C+,Si,Si+,C,,,1.00e+01,4.10e+04,2.10e-09
203,C+,SiC2,SiC2+,C,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
204,C+,SiC2H,SiC2H+,C,,,1.00e+01,3.00e+02,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
205,C+,SiC3,SiC3+,C,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
206,C+,SiC,SiC+,C,,,1.00e+01,3.00e+02,2.50e-09 * (Tgas / 3.0e2)**(-0.50)
207,C+,SiCH2,SiCH2+,C,,,1.00e+01,3.00e+02,1.00e-09
208,C+,SiCH3,SiCH3+,C,,,1.00e+01,3.00e+02,1.00e-09
209,C+,SiH2,SiH2+,C,,,1.00e+01,3.00e+02,1.00e-09
210,C+,SiH3,SiH3+,C,,,1.00e+01,3.00e+02,1.00e-09
211,C+,SiN,SiN+,C,,,1.00e+01,3.00e+02,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
212,C+,SiS,SiS+,C,,,1.00e+01,4.10e+04,2.30e-09 * (Tgas / 3.0e2)**(-0.50)
213,C2+,HCO,HCO+,C2,,,1.00e+01,4.10e+04,3.80e-10 * (Tgas / 3.0e2)**(-0.50)
214,C2+,NO,NO+,C2,,,1.00e+01,4.10e+04,3.40e-10
215,C2+,S,S+,C2,,,1.00e+01,4.10e+04,5.80e-10
216,C2,CN+,CN,C2+,,,1.00e+01,4.10e+04,8.50e-10
217,C2,CO+,CO,C2+,,,1.00e+01,4.10e+04,8.40e-10
218,C2,N2+,N2,C2+,,,1.00e+01,4.10e+04,8.40e-10
219,C2,O2+,O2,C2+,,,1.00e+01,4.10e+04,4.10e-10
220,C2H+,NO,NO+,C2H,,,1.00e+01,4.10e+04,1.20e-10
221,C2H+,S,S+,C2H,,,1.00e+01,4.10e+04,1.20e-09
222,C2H2+,C2H3,C2H3+,C2H2,,,1.00e+01,3.00e+02,3.30e-10 * (Tgas / 3.0e2)**(-0.50)
223,C2H2+,C2H4,C2H4+,C2H2,,,1.00e+01,4.10e+04,4.14e-10
224,C2H2+,C5H2,C5H2+,C2H2,,,1.00e+01,3.00e+02,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
225,C2H2+,C6H2,C6H2+,C2H2,,,1.00e+01,3.00e+02,5.00e-10 * (Tgas / 3.0e2)**(-0.50)
226,C2H2+,C7H2,C7H2+,C2H2,,,1.00e+01,3.00e+02,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
227,C2H2+,CH2CCH,C3H3+,C2H2,,,1.00e+01,4.10e+04,1.00e-09
228,C2H2+,CH3CCH,C3H4+,C2H2,,,1.00e+01,3.00e+02,2.54e-10 * (Tgas / 3.0e2)**(-0.50)
229,C2H2+,Fe,Fe+,C2H2,,,1.00e+01,4.10e+04,2.00e-09
230,C2H2+,H2CO,H2CO+,C2H2,,,1.00e+01,4.10e+04,8.60e-10 * (Tgas / 3.0e2)**(-0.50)
231,C2H2+,H2S,H2S+,C2H2,,,1.00e+01,4.10e+04,2.20e-09 * (Tgas / 3.0e2)**(-0.50)
232,C2H2+,C4H2,C4H2+,C2H2,,,1.00e+01,3.00e+02,1.26e-09
233,C2H2+,HCO,HCO+,C2H2,,,1.00e+01,4.10e+04,5.00e-10 * (Tgas / 3.0e2)**(-0.50)
234,C2H2+,NO,NO+,C2H2,,,1.00e+01,4.10e+04,1.20e-10
235,C2H2,H2CCCH+,C3H3+,C2H2,,,1.00e+01,4.10e+04,2.50e-10
236,C2H2,CO2+,CO2,C2H2+,,,1.00e+01,4.10e+04,7.30e-10
