@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
5293,He+,C6H4,C6H3+,H,He,,1.00e+01,4.10e+04,1.66e-09 * (Tgas / 3.0e2)**(-0.50)
5294,H3+,C5H6,C5H7+,H2,,,1.00e+01,4.10e+04,2.00e-09
5295,H3O+,C5H6,C5H7+,H2O,,,1.00e+01,4.10e+04,1.00e-09
5296,HCO+,C5H6,C5H7+,CO,,,1.00e+01,4.10e+04,1.00e-09
5297,N2H+,C5H6,C5H7+,N2,,,1.00e+01,4.10e+04,1.00e-09
5298,C3H5+,C2H4,C5H7+,H2,,,1.00e+01,4.10e+04,1.19e-11
5299,CH2CCH3+,C2H4,C5H7+,H2,,,1.00e+01,4.10e+04,1.19e-11
5300,He+,C5H6,C5H4+,H2,He,,1.00e+01,4.10e+04,1.00e-09
5301,He+,C5H6,C5H5+,H,He,,1.00e+01,4.10e+04,1.00e-09
5302,H3+,C5H5,C5H6+,H2,,,1.00e+01,4.10e+04,2.00e-09
5303,H3O+,C5H5,C5H6+,H2O,,,1.00e+01,4.10e+04,1.00e-09
5304,HCO+,C5H5,C5H6+,CO,,,1.00e+01,4.10e+04,1.00e-09
5305,N2H+,C5H5,C5H6+,N2,,,1.00e+01,4.10e+04,1.00e-09
5306,He+,C5H5,C5H3+,H2,He,,1.00e+01,4.10e+04,1.00e-09
5307,He+,C5H5,C5H4+,H,He,,1.00e+01,4.10e+04,1.00e-09
5308,Ti+,O2,TiO+,O,,,2.00e+02,6.00e+02,6.50e-10
5309,Ti+,CO2,TiO+,CO,,,2.00e+02,6.00e+02,5.50e-11 * (Tgas / 3.0e2)**(-1.10)
5310,Ti+,N2O,TiO+,N2,,,2.00e+02,6.00e+02,8.00e-10
5311,Ti+,H2O,TiO+,H2,,,3.00e+02,4.10e+04,1.00e-10
5312,H3+,TiO,TiOH+,H2,,,1.00e+01,4.10e+04,7.64e-09 * (Tgas / 3.0e2)**(-0.50)
5313,H3O+,TiO,TiOH+,H2O,,,1.00e+01,4.10e+04,3.38e-09 * (Tgas / 3.0e2)**(-0.50)
5314,HCO+,TiO,TiOH+,CO,,,1.00e+01,4.10e+04,2.89e-09 * (Tgas / 3.0e2)**(-0.50)
5315,N2H+,TiO,TiOH+,N2,,,1.00e+01,4.10e+04,2.89e-09 * (Tgas / 3.0e2)**(-0.50)
5316,He+,TiO,Ti+,O,He,,1.00e+01,4.10e+04,6.66e-09 * (Tgas / 3.0e2)**(-0.50)
5317,H3+,TiO2,TiO2H+,H2,,,1.00e+01,4.10e+04,1.44e-08 * (Tgas / 3.0e2)**(-0.50)
5318,H3O+,TiO2,TiO2H+,H2O,,,1.00e+01,4.10e+04,6.25e-09 * (Tgas / 3.0e2)**(-0.50)
5319,HCO+,TiO2,TiO2H+,CO,,,1.00e+01,4.10e+04,5.31e-09 * (Tgas / 3.0e2)**(-0.50)
5320,N2H+,TiO2,TiO2H+,N2,,,1.00e+01,4.10e+04,5.51e-09 * (Tgas / 3.0e2)**(-0.50)
5321,He+,TiO2,TiO+,O,He,,1.00e+01,4.10e+04,1.23e-08 * (Tgas / 3.0e2)**(-0.50)
5322,HCO+,HNO,H2NO+,CO,,,1.00e+01,4.10e+04,1.67e-09 * (Tgas / 3.0e2)**(-0.50)
5323,N2H+,HNO,H2NO+,N2,,,1.00e+01,4.10e+04,1.67e-09 * (Tgas / 3.0e2)**(-0.50)
5324,H3O+,HNO,H2NO+,H2O,,,1.00e+01,4.10e+04,1.88e-09 * (Tgas / 3.0e2)**(-0.50)
5325,C+,HNO,NO+,CH,,,1.00e+01,4.10e+04,1.10e-09 * (Tgas / 3.0e2)**(-0.50)
5326,C+,HNO,NH+,CO,,,1.00e+01,4.10e+04,1.10e-09 * (Tgas / 3.0e2)**(-0.50)
5327,H3+,CH3COOH,CH3COOH2+,H2,,,1.00e+01,4.10e+04,3.85e-09 * (Tgas / 3.0e2)**(-0.50)
5328,H3O+,CH3COOH,CH3COOH2+,H2O,,,1.00e+01,4.10e+04,1.71e-09 * (Tgas / 3.0e2)**(-0.50)
5329,HCO+,CH3COOH,CH3COOH2+,CO,,,1.00e+01,4.10e+04,1.47e-09 * (Tgas / 3.0e2)**(-0.50)
5330,N2H+,CH3COOH,CH3COOH2+,N2,,,1.00e+01,4.10e+04,1.47e-09 * (Tgas / 3.0e2)**(-0.50)
5331,He+,CH3COOH,CH2+,HCOOH,He,,1.00e+01,4.10e+04,3.36e-10 * (Tgas / 3.0e2)**(-0.50)
5332,H3+,HOCH2CHO,HOCH2CH2O+,H2,,,1.00e+01,4.10e+04,5.36e-09 * (Tgas / 3.0e2)**(-0.50)
5333,H3O+,HOCH2CHO,HOCH2CH2O+,H2O,,,1.00e+01,4.10e+04,2.38e-09 * (Tgas / 3.0e2)**(-0.50)
5334,HCO+,HOCH2CHO,HOCH2CH2O+,CO,,,1.00e+01,4.10e+04,2.05e-09 * (Tgas / 3.0e2)**(-0.50)
5335,N2H+,HOCH2CHO,HOCH2CH2O+,N2,,,1.00e+01,4.10e+04,2.05e-09 * (Tgas / 3.0e2)**(-0.50)
5336,He+,HOCH2CHO,H2COH+,HCO,He,,1.00e+01,4.10e+04,2.68e-09 * (Tgas / 3.0e2)**(-0.50)
5337,He+,HOCH2CHO,CH2OH,HCO+,He,,1.00e+01,4.10e+04,2.68e-09 * (Tgas / 3.0e2)**(-0.50)
5338,He+,CH3NCO,CH3NCO+,He,,,1.00e+01,4.10e+04,2.89e-09 * (Tgas / 3.0e2)**(-0.50)
5339,He+,CH3NCO,CH3+,OCN,He,,1.00e+01,4.10e+04,2.89e-09 * (Tgas / 3.0e2)**(-0.50)
5340,H3+,CH3NCO,CH3NCOH+,H2,,,1.00e+01,4.10e+04,6.60e-09 * (Tgas / 3.0e2)**(-0.50)
5341,H3O+,CH3NCO,CH3NCOH+,H2O,,,1.00e+01,4.10e+04,2.95e-09 * (Tgas / 3.0e2)**(-0.50)
5342,HCO+,CH3NCO,CH3NCOH+,CO,,,1.00e+01,4.10e+04,2.54e-09 * (Tgas / 3.0e2)**(-0.50)
5343,N2H+,CH3NCO,CH3NCOH+,N2,,,1.00e+01,4.10e+04,2.54e-09 * (Tgas / 3.0e2)**(-0.50)
5344,He+,CH3CHOH,C2H4+,OH,He,,1.00e+01,1.00e+03,3.41e-09 * (Tgas / 3.0e2)**(-0.50)
5345,He+,CH2CH2OH,C2H4+,OH,He,,1.00e+01,1.00e+03,3.67e-09 * (Tgas / 3.0e2)**(-0.50)
5346,H3+,CH3CHOH,C2H5OH+,H2,,,1.00e+01,1.00e+03,3.90e-09 * (Tgas / 3.0e2)**(-0.50)
5347,H3+,CH2CH2OH,C2H5OH+,H2,,,1.00e+01,1.00e+03,4.20e-09 * (Tgas / 3.0e2)**(-0.50)
5348,H3O+,CH3CHOH,C2H5OH+,H2O,,,1.00e+01,1.00e+03,1.79e-09 * (Tgas / 3.0e2)**(-0.50)
5349,H3O+,CH2CH2OH,C2H5OH+,H2O,,,1.00e+01,1.00e+03,1.93e-09 * (Tgas / 3.0e2)**(-0.50)
5350,HCO+,CH3CHOH,C2H5OH+,CO,,,1.00e+01,1.00e+03,1.56e-09 * (Tgas / 3.0e2)**(-0.50)
5351,HCO+,CH2CH2OH,C2H5OH+,CO,,,1.00e+01,1.00e+03,1.68e-09 * (Tgas / 3.0e2)**(-0.50)
5352,N2H+,CH3CHOH,C2H5OH+,N2,,,1.00e+01,1.00e+03,1.56e-09 * (Tgas / 3.0e2)**(-0.50)
5353,N2H+,CH2CH2OH,C2H5OH+,N2,,,1.00e+01,1.00e+03,1.68e-09 * (Tgas / 3.0e2)**(-0.50)
5354,H3+,CH3OCH2,CH3OCH3+,H2,,,1.00e+01,4.10e+04,3.32e-09 * (Tgas / 3.0e2)**(-0.50)
5355,N2H+,CH3OCH2,CH3OCH3+,N2,,,1.00e+01,4.10e+04,1.33e-09 * (Tgas / 3.0e2)**(-0.50)
5356,HCO+,CH3OCH2,CH3OCH3+,CO,,,1.00e+01,4.10e+04,1.33e-09 * (Tgas / 3.0e2)**(-0.50)
5357,H3O+,CH3OCH2,CH3OCH3+,H2O,,,1.00e+01,3.00e+02,1.52e-09 * (Tgas / 3.0e2)**(-0.50)
5358,NH3+,CH3OCH3,CH3OCH2,NH4+,,,1.00e+01,3.00e+02,9.37e-10 * (Tgas / 3.0e2)**(-0.50)
5359,He+,CH3OCH2,H2CO+,CH3,He,,1.00e+01,4.10e+04,1.46e-09 * (Tgas / 3.0e2)**(-0.50)
5360,He+,CH3OCH2,CH3+,H2CO,He,,1.00e+01,4.10e+04,1.46e-09 * (Tgas / 3.0e2)**(-0.50)
5361,N2H+,CH3CCH,C3H5+,N2,,,1.00e+01,4.10e+04,7.40e-10 * (Tgas / 3.0e2)**(-0.50)
5362,H3O+,CH2CCH2,CH2CCH3+,H2O,,,1.00e+01,4.10e+04,1.40e-09
5363,N2H+,CH2CCH2,CH2CCH3+,N2,,,1.00e+01,4.10e+04,1.40e-09
5364,HCO+,CH2CCH2,CH2CCH3+,CO,,,1.00e+01,4.10e+04,1.40e-09
5365,H+,CH2CCH2,C3H3+,H2,,,1.00e+01,3.00e+02,7.50e-10
5366,H+,CH2CCH2,H2CCCH+,H2,,,1.00e+01,3.00e+02,7.50e-10
5367,N2H+,HCOOH,HCOOH2+,N2,,,1.00e+01,4.10e+04,1.32e-09 * (Tgas / 3.0e2)**(-0.50)
5368,H3+,HCCCHO,HCCCHOH+,H2,,,1.00e+01,4.10e+04,6.38e-09 * (Tgas / 3.0e2)**(-0.50)
5369,HCO+,HCCCHO,HCCCHOH+,CO,,,1.00e+01,4.10e+04,2.48e-09 * (Tgas / 3.0e2)**(-0.50)
5370,N2H+,HCCCHO,HCCCHOH+,N2,,,1.00e+01,4.10e+04,2.48e-09 * (Tgas / 3.0e2)**(-0.50)
5371,H3O+,HCCCHO,HCCCHOH+,H2O,,,1.00e+01,4.10e+04,2.87e-09 * (Tgas / 3.0e2)**(-0.50)
5372,He+,HCCCHO,HCO+,C2H,He,,1.00e+01,4.10e+04,5.57e-09 * (Tgas / 3.0e2)**(-0.50)
5373,C+,HCCCHO,HCO+,C3H,,,1.00e+01,4.10e+04,3.43e-09 * (Tgas / 3.0e2)**(-0.50)
5374,H3+,C3HCCH,C3HCCH2+,H2,,,1.00e+01,4.10e+04,8.10e-09 * (Tgas / 3.0e2)**(-0.50)
5375,HCO+,C3HCCH,C3HCCH2+,CO,,,1.00e+01,4.10e+04,3.08e-09 * (Tgas / 3.0e2)**(-0.50)
5376,N2H+,C3HCCH,C3HCCH2+,N2,,,1.00e+01,4.10e+04,3.08e-09 * (Tgas / 3.0e2)**(-0.50)
5377,H3O+,C3HCCH,C3HCCH2+,H2O,,,1.00e+01,4.10e+04,3.67e-09 * (Tgas / 3.0e2)**(-0.50)
5378,He+,C3HCCH,C3H+,C2H,He,,1.00e+01,4.10e+04,7.07e-09 * (Tgas / 3.0e2)**(-0.50)
5379,C+,C3HCCH,C4H+,C2H,,,1.00e+01,4.10e+04,2.16e-09 * (Tgas / 3.0e2)**(-0.50)
5380,C+,C3HCCH,C3H+,C3H,,,1.00e+01,4.10e+04,2.16e-09 * (Tgas / 3.0e2)**(-0.50)
5381,H3+,C3CCH,C3CCH2+,H2,,,1.00e+01,4.10e+04,7.76e-09 * (Tgas / 3.0e2)**(-0.50)
5382,HCO+,C3CCH,C3CCH2+,CO,,,1.00e+01,4.10e+04,2.96e-09 * (Tgas / 3.0e2)**(-0.50)
5383,N2H+,C3CCH,C3CCH2+,N2,,,1.00e+01,4.10e+04,2.96e-09 * (Tgas / 3.0e2)**(-0.50)
5384,H3O+,C3CCH,C3CCH2+,H2O,,,1.00e+01,4.10e+04,3.59e-09 * (Tgas / 3.0e2)**(-0.50)
5385,He+,C3CCH,C3+,C2H,He,,1.00e+01,4.10e+04,3.39e-09 * (Tgas / 3.0e2)**(-0.50)
5386,He+,C3CCH,C3,C2H+,He,,1.00e+01,4.10e+04,3.39e-09 * (Tgas / 3.0e2)**(-0.50)
5387,C+,C3CCH,C4+,C2H,,,1.00e+01,4.10e+04,2.07e-09 * (Tgas / 3.0e2)**(-0.50)
5388,C+,C3CCH,C3+,C3H,,,1.00e+01,4.10e+04,2.07e-09 * (Tgas / 3.0e2)**(-0.50)
5389,N2H+,CH3C6H,CH3C6H2+,N2,,,1.00e+01,4.10e+04,1.24e-09 * (Tgas / 3.0e2)**(-0.50)
5390,H+,H2CCCHC4H,C7H3+,H2,,,1.00e+01,4.10e+04,1.75e-09 * (Tgas / 3.0e2)**(-0.50)
5391,C+,H2CCCHC4H,C7H3+,CH,,,1.00e+01,4.10e+04,5.36e-09 * (Tgas / 3.0e2)**(-0.50)
5392,C+,H2CCCHC4H,C8H2+,H2,,,1.00e+01,4.10e+04,5.36e-10 * (Tgas / 3.0e2)**(-0.50)
5393,He+,H2CCCHC4H,C7H2+,H2,He,,1.00e+01,4.10e+04,8.90e-10 * (Tgas / 3.0e2)**(-0.50)
5394,He+,H2CCCHC4H,C7H3+,H,He,,1.00e+01,4.10e+04,8.90e-10 * (Tgas / 3.0e2)**(-0.50)
5395,N2H+,CH3C5N,CH3C5NH+,N2,,,1.00e+01,4.10e+04,4.76e-09 * (Tgas / 3.0e2)**(-0.50)
5396,H3+,H2CCCHC3N,H2CCCHC3NH+,H2,,,1.00e+01,4.10e+04,1.17e-08 * (Tgas / 3.0e2)**(-0.50)
5397,HCO+,H2CCCHC3N,H2CCCHC3NH+,CO,,,1.00e+01,4.10e+04,4.26e-09 * (Tgas / 3.0e2)**(-0.50)
5398,N2H+,H2CCCHC3N,H2CCCHC3NH+,N2,,,1.00e+01,4.10e+04,4.26e-09 * (Tgas / 3.0e2)**(-0.50)
5399,C+,H2CCCHC3N,C4H2+,HC3N,,,1.00e+01,4.10e+04,3.06e-09 * (Tgas / 3.0e2)**(-0.50)
5400,C+,H2CCCHC3N,C4H3+,C3N,,,1.00e+01,4.10e+04,3.06e-09 * (Tgas / 3.0e2)**(-0.50)
5401,He+,H2CCCHC3N,C3H2+,HC3N,He,,1.00e+01,4.10e+04,5.10e-09 * (Tgas / 3.0e2)**(-0.50)
5402,He+,H2CCCHC3N,H2CCCH+,C3N,He,,1.00e+01,4.10e+04,5.10e-09 * (Tgas / 3.0e2)**(-0.50)
5403,He+,H2CCHC3N,C2H2+,HC3N,He,,1.00e+01,4.10e+04,5.05e-09 * (Tgas / 3.0e2)**(-0.50)
5404,He+,H2CCHC3N,C2H3+,C3N,He,,1.00e+01,4.10e+04,5.05e-09 * (Tgas / 3.0e2)**(-0.50)
5405,C+,H2CCHC3N,C3H3+,C3N,,,1.00e+01,4.10e+04,6.11e-09 * (Tgas / 3.0e2)**(-0.50)
5406,H3+,H2CCHC3N,H2CCHC3NH+,H2,,,1.00e+01,4.10e+04,1.16e-08 * (Tgas / 3.0e2)**(-0.50)
5407,HCO+,H2CCHC3N,H2CCHC3NH+,CO,,,1.00e+01,4.10e+04,4.29e-09 * (Tgas / 3.0e2)**(-0.50)
5408,N2H+,H2CCHC3N,H2CCHC3NH+,N2,,,1.00e+01,4.10e+04,4.29e-09 * (Tgas / 3.0e2)**(-0.50)
5409,H3O+,H2CCHC3N,H2CCHC3NH+,H2O,,,1.00e+01,4.10e+04,5.05e-09 * (Tgas / 3.0e2)**(-0.50)
5410,He+,HCCCHCHCN,C4H2+,HCN,He,,1.00e+01,4.10e+04,4.20e-09 * (Tgas / 3.0e2)**(-0.50)
5411,He+,HCCCHCHCN,C4H3+,CN,He,,1.00e+01,4.10e+04,4.20e-09 * (Tgas / 3.0e2)**(-0.50)
5412,C+,HCCCHCHCN,C4H3+,C2N,,,1.00e+01,4.10e+04,2.55e-09 * (Tgas / 3.0e2)**(-0.50)
5413,C+,HCCCHCHCN,C5H2+,HCN,,,1.00e+01,4.10e+04,2.55e-09 * (Tgas / 3.0e2)**(-0.50)
5414,H3+,HCCCHCHCN,HCCCHCHCNH+,H2,,,1.00e+01,4.10e+04,9.66e-09 * (Tgas / 3.0e2)**(-0.50)
5415,HCO+,HCCCHCHCN,HCCCHCHCNH+,CO,,,1.00e+01,4.10e+04,3.58e-09 * (Tgas / 3.0e2)**(-0.50)
5416,N2H+,HCCCHCHCN,HCCCHCHCNH+,N2,,,1.00e+01,4.10e+04,3.58e-09 * (Tgas / 3.0e2)**(-0.50)
5417,H3O+,HCCCHCHCN,HCCCHCHCNH+,H2O,,,1.00e+01,4.10e+04,4.20e-09 * (Tgas / 3.0e2)**(-0.50)
5418,He+,CH2CHOH,CH2+,H2CO,He,,1.00e+01,4.10e+04,1.03e-09 * (Tgas / 3.0e2)**(-0.50)
5419,He+,CH2CHOH,CH2,H2CO+,He,,1.00e+01,4.10e+04,1.03e-09 * (Tgas / 3.0e2)**(-0.50)
5420,H3+,CH2CHOH,CH2CHOH2+,H2,,,1.00e+01,4.10e+04,2.36e-09 * (Tgas / 3.0e2)**(-0.50)
5421,HCO+,CH2CHOH,CH2CHOH2+,CO,,,1.00e+01,4.10e+04,9.44e-10 * (Tgas / 3.0e2)**(-0.50)
5422,N2H+,CH2CHOH,CH2CHOH2+,N2,,,1.00e+01,4.10e+04,9.44e-10 * (Tgas / 3.0e2)**(-0.50)
5423,H3O+,CH2CHOH,CH2CHOH2+,H2O,,,1.00e+01,4.10e+04,1.08e-09 * (Tgas / 3.0e2)**(-0.50)
5424,H3+,NaCN,NaCNH+,H2,,,1.00e+01,4.10e+04,2.04e-08 * (Tgas / 3.0e2)**(-0.50)
5425,HCO+,NaCN,NaCNH+,CO,,,1.00e+01,4.10e+04,8.02e-09 * (Tgas / 3.0e2)**(-0.50)
5426,N2H+,NaCN,NaCNH+,N2,,,1.00e+01,4.10e+04,8.02e-09 * (Tgas / 3.0e2)**(-0.50)
5427,H3O+,NaCN,NaCNH+,H2O,,,1.00e+01,4.10e+04,9.26e-09 * (Tgas / 3.0e2)**(-0.50)
5428,C+,NaCN,Na+,CN,C,,1.00e+01,4.10e+04,1.10e-08 * (Tgas / 3.0e2)**(-0.50)
5429,He+,NaCN,Na+,CN,He,,1.00e+01,4.10e+04,1.78e-08 * (Tgas / 3.0e2)**(-0.50)
5430,H3+,NaCl,NaClH+,H2,,,1.00e+01,4.10e+04,2.06e-08 * (Tgas / 3.0e2)**(-0.50)
5431,HCO+,NaCl,NaClH+,CO,,,1.00e+01,4.10e+04,7.92e-09 * (Tgas / 3.0e2)**(-0.50)
5432,N2H+,NaCl,NaClH+,N2,,,1.00e+01,4.10e+04,7.92e-09 * (Tgas / 3.0e2)**(-0.50)
5433,H3O+,NaCl,NaClH+,H2O,,,1.00e+01,4.10e+04,9.21e-09 * (Tgas / 3.0e2)**(-0.50)
5434,C+,NaCl,Na+,Cl,C,,1.00e+01,4.10e+04,1.11e-08 * (Tgas / 3.0e2)**(-0.50)
5435,He+,NaCl,Na+,Cl,He,,1.00e+01,4.10e+04,1.80e-08 * (Tgas / 3.0e2)**(-0.50)
5436,S+,CH3CHO,CH3SH+,CO,,,1.00e+01,3.00e+03,6.60e-10
5437,S+,CH3CHO,CH3CO+,HS,,,1.00e+01,3.00e+03,9.90e-10
5438,S+,CH3CHO,SO+,C2H4,,,1.00e+01,3.00e+03,6.60e-10
5439,S+,CH3SH,CH3SH+,S,,,1.00e+01,3.00e+03,1.79e-09
5440,S+,CH3SH,H2CSH+,HS,,,1.00e+01,3.00e+03,3.15e-10
5441,He+,CH3SH,CH3+,HS,He,,1.00e+01,3.00e+03,3.06e-09 * (Tgas / 3.0e2)**(-0.50)
5442,C+,CH3SH,CH3+,HCS,,,1.00e+01,3.00e+03,1.52e-09 * (Tgas / 3.0e2)**(-0.50)
5443,C+,CH3SH,H2CSH+,CH,,,1.00e+01,3.00e+03,3.80e-10 * (Tgas / 3.0e2)**(-0.50)
5444,H3+,CH3SH,H2CSH+,H2,H2,,1.00e+01,3.00e+03,3.50e-09 * (Tgas / 3.0e2)**(-0.50)
5445,HCO+,CH3SH,CH3SH2+,CO,,,1.00e+01,3.00e+03,1.38e-09 * (Tgas / 3.0e2)**(-0.50)
5446,N2H+,CH3SH,CH3SH2+,N2,,,1.00e+01,3.00e+03,1.38e-09 * (Tgas / 3.0e2)**(-0.50)
5447,H3O+,CH3SH,CH3SH2+,H2O,,,1.00e+01,3.00e+03,1.59e-09 * (Tgas / 3.0e2)**(-0.50)
5448,H+,CH3SH,H2CSH+,H2,,,1.00e+01,3.00e+03,2.85e-09 * (Tgas / 3.0e2)**(-0.50)
5449,H+,CH3SH,CH3+,H2S,,,1.00e+01,3.00e+03,1.43e-09 * (Tgas / 3.0e2)**(-0.50)
5450,H+,CH3SH,HCS+,H2,H2,,1.00e+01,3.00e+03,1.43e-09 * (Tgas / 3.0e2)**(-0.50)
5451,H2CSH+,CH3SH,CH3SH2+,H2CS,,,1.00e+01,3.00e+03,1.60e-09
5452,H3+,HOCHCHOH,HOCHCHOH2+,H2,,,1.00e+01,3.00e+03,4.72e-09 * (Tgas / 3.0e2)**(-0.50)
5453,H3O+,HOCHCHOH,HOCHCHOH2+,H2O,,,1.00e+01,3.00e+03,2.10e-09 * (Tgas / 3.0e2)**(-0.50)
5454,HCO+,HOCHCHOH,HOCHCHOH2+,CO,,,1.00e+01,3.00e+03,1.80e-09 * (Tgas / 3.0e2)**(-0.50)
5455,N2H+,HOCHCHOH,HOCHCHOH2+,N2,,,1.00e+01,3.00e+03,1.80e-09 * (Tgas / 3.0e2)**(-0.50)
5456,H3+,HCCO,H2CCO+,H2,,,1.00e+01,3.00e+03,3.68e-09 * (Tgas / 3.0e2)**(-0.50)
5457,H3O+,HCCO,H2CCO+,H2O,,,1.00e+01,3.00e+03,1.71e-09 * (Tgas / 3.0e2)**(-0.50)
5458,HCO+,HCCO,H2CCO+,CO,,,1.00e+01,3.00e+03,1.49e-09 * (Tgas / 3.0e2)**(-0.50)
5459,N2H+,HCCO,H2CCO+,N2,,,1.00e+01,3.00e+03,1.49e-09 * (Tgas / 3.0e2)**(-0.50)
5460,H3+,HCCN,CH2CN+,H2,,,1.00e+01,3.00e+03,7.05e-09 * (Tgas / 3.0e2)**(-0.50)
5461,H3O+,HCCN,CH2CN+,H2O,,,1.00e+01,3.00e+03,3.29e-09 * (Tgas / 3.0e2)**(-0.50)
5462,HCO+,HCCN,CH2CN+,CO,,,1.00e+01,3.00e+03,2.88e-09 * (Tgas / 3.0e2)**(-0.50)
5463,N2H+,HCCN,CH2CN+,N2,,,1.00e+01,3.00e+03,2.88e-09 * (Tgas / 3.0e2)**(-0.50)
5464,He+,HCCN,C2N+,H,He,,1.00e+01,3.00e+03,3.09e-09 * (Tgas / 3.0e2)**(-0.50)
5465,He+,HCCN,CH+,CN,He,,1.00e+01,3.00e+03,3.09e-09 * (Tgas / 3.0e2)**(-0.50)
5466,He+,CH3CHCHCN,C3H4+,HCN,He,,1.00e+01,4.10e+04,2.50e-09 * (Tgas / 3.0e2)**(-0.50)
5467,He+,CH3CHCHCN,C3H5+,CN,He,,1.00e+01,4.10e+04,2.50e-09 * (Tgas / 3.0e2)**(-0.50)
5468,He+,CH3CHCHCN,CH2CCH3+,CN,He,,1.00e+01,4.10e+04,2.50e-09 * (Tgas / 3.0e2)**(-0.50)
5469,H3+,CH3CHCHCN,CH3CHCHCNH+,H2,,,1.00e+01,4.10e+04,8.54e-09 * (Tgas / 3.0e2)**(-0.50)
5470,H3O+,CH3CHCHCN,CH3CHCHCNH+,H2O,,,1.00e+01,4.10e+04,3.76e-09 * (Tgas / 3.0e2)**(-0.50)
5471,HCO+,CH3CHCHCN,CH3CHCHCNH+,CO,,,1.00e+01,4.10e+04,3.22e-09 * (Tgas / 3.0e2)**(-0.50)
5472,N2H+,CH3CHCHCN,CH3CHCHCNH+,N2,,,1.00e+01,4.10e+04,3.22e-09 * (Tgas / 3.0e2)**(-0.50)
5473,C+,HC4N,C5N+,H,,,1.00e+01,4.10e+04,2.64e-09 * (Tgas / 3.0e2)**(-0.50)
5474,H3+,HC4N,H2C4N+,H2,,,1.00e+01,4.10e+04,9.90e-09 * (Tgas / 3.0e2)**(-0.50)
5475,H3O+,HC4N,H2C4N+,H2O,,,1.00e+01,4.10e+04,4.39e-09 * (Tgas / 3.0e2)**(-0.50)
5476,HCO+,HC4N,H2C4N+,CO,,,1.00e+01,4.10e+04,3.76e-09 * (Tgas / 3.0e2)**(-0.50)
5477,N2H+,HC4N,H2C4N+,N2,,,1.00e+01,4.10e+04,3.76e-09 * (Tgas / 3.0e2)**(-0.50)
5478,He+,HC4N,C4N+,H,He,,1.00e+01,4.10e+04,4.32e-09 * (Tgas / 3.0e2)**(-0.50)
5479,He+,HC4N,CH+,C3N,He,,1.00e+01,4.10e+04,4.32e-09 * (Tgas / 3.0e2)**(-0.50)
5480,H3+,C5H4CCH2,C5H4CCH3+,H2,,,1.00e+01,4.10e+04,1.00e-09
5481,H3O+,C5H4CCH2,C5H4CCH3+,H2O,,,1.00e+01,4.10e+04,1.00e-09
5482,HCO+,C5H4CCH2,C5H4CCH3+,CO,,,1.00e+01,4.10e+04,1.00e-09
5483,N2H+,C5H4CCH2,C5H4CCH3+,N2,,,1.00e+01,4.10e+04,1.00e-09
5484,H2CCCH+,C2H4,C5H5+,H2,,,1.00e+01,4.10e+04,1.10e-09
5485,C2H5+,CH3CH3,C3H7+,CH4,,,1.00e+01,4.10e+04,5.46e-11
5486,He+,CH2CHCHO,C2H2+,H2CO,He,,1.00e+01,4.10e+04,3.58e-09 * (Tgas / 3.0e2)**(-0.50)
5487,He+,CH2CHCHO,C2H2,H2CO+,He,,1.00e+01,4.10e+04,3.58e-09 * (Tgas / 3.0e2)**(-0.50)
5488,H3+,CH2CHCHO,CH2CHCHOH+,H2,,,1.00e+01,4.10e+04,7.16e-09 * (Tgas / 3.0e2)**(-0.50)
5489,H3O+,CH2CHCHO,CH2CHCHOH+,H2O,,,1.00e+01,4.10e+04,3.21e-09 * (Tgas / 3.0e2)**(-0.50)
5490,HCO+,CH2CHCHO,CH2CHCHOH+,CO,,,1.00e+01,4.10e+04,2.76e-09 * (Tgas / 3.0e2)**(-0.50)
5491,N2H+,CH2CHCHO,CH2CHCHOH+,N2,,,1.00e+01,4.10e+04,2.76e-09 * (Tgas / 3.0e2)**(-0.50)
5492,H3+,HCCNC,HCCNCH+,H2,,,1.00e+01,3.00e+03,6.74e-09 * (Tgas / 3.0e2)**(-0.50)
5493,HCO+,HCCNC,HCCNCH+,CO,,,1.00e+01,3.00e+03,2.64e-09 * (Tgas / 3.0e2)**(-0.50)
5494,N2H+,HCCNC,HCCNCH+,N2,,,1.00e+01,3.00e+03,2.64e-09 * (Tgas / 3.0e2)**(-0.50)
5495,H3O+,HCCNC,HCCNCH+,H2O,,,1.00e+01,3.00e+03,3.05e-09 * (Tgas / 3.0e2)**(-0.50)
5496,C+,HCCNC,C3H+,CN,,,1.00e+01,3.00e+03,1.82e-09 * (Tgas / 3.0e2)**(-0.50)
5497,C+,HCCNC,C2N+,C2H,,,1.00e+01,3.00e+03,1.82e-09 * (Tgas / 3.0e2)**(-0.50)
5498,He+,HCCNC,C2N+,CH,He,,1.00e+01,3.00e+03,1.96e-09 * (Tgas / 3.0e2)**(-0.50)
5499,He+,HCCNC,C3N+,H,He,,1.00e+01,3.00e+03,1.96e-09 * (Tgas / 3.0e2)**(-0.50)
5500,He+,HCCNC,C2H+,CN,He,,1.00e+01,3.00e+03,1.96e-09 * (Tgas / 3.0e2)**(-0.50)
5501,H+,HC4S,C4S+,H2,,,1.00e+01,4.10e+04,2.83e-09 * (Tgas / 3.0e2)**(-0.50)
